english,french
Arfwedson distribution,Distribution d'Arfwedson
Argumentation framework,Système d'argumentation
ARIMA Models,Modèles ARIMA
ARIMA process,Processus ARIMA
Arith-log chart,Graphique semi-logarithmique
Arithmetic distribution,Distribution arithmétique
Arithmetic mean,Moyenne arithmétique
ARMA,ARMA
ARMA model,Modèle ARMA
Array,Table
Arrow,Flèche
Arrow pointer,Flèche
Arrow-type pointer,Flèche
Artificial brain,Cerveau artificiel
Artificial General Intelligence,Intelligence artificielle générale
Artificial immune system,Système immunitaire artificiel
Artificial intelligence,Intelligence artificielle
Artificial intelligence accelerator,Accélérateur d'IA
Artificial intelligence architect,Architecte en intelligence artificielle
Artificial intelligence complete problem,Problème complet
Artificial intelligence hard problem,Problème complet
Artificial Intelligence Marketing,Marketing de l'intelligence artificielle
Artificial Intelligence Markup Language,AIML
Artificial Intelligence Operations Systems,AIOps
Artificial intelligence reasoning,Raisonnement par intelligence artificielle
Artificial intelligence system,Système d’intelligence artificielle
Artificial intelligence winter,Hiver de l'intelligence artificielle
Artificial Intelligence Winters,Hiver de l'intelligence artificielle
"Artificial intelligence, situated approach",Intelligence artificielle en situation réelle
Artificial intelligence-as-a-Service,IA en tant que service
Artificial intelligence-powered content manipulation,Manipulation de contenu par intelligence artificielle
Artificial intelligence-powered surveillance,Surveillance par intelligence artificielle
Artificial neural network,Réseau de neurones artificiels
Artificial neuron,Neurone artificiel
Artificial neuron network,Réseau de neurones artificiels
Artificial neuronal network,Réseau de neurones artificiels
Artificial neurone,Neurone artificiel
Artificial speech,Voix de synthèse
Artificial vision,Vision artificielle
Arxiv,Arxiv
Ascertainment error,Erreur autre que d'échantillonnage
Assay objective,Objectif d'une épreuve
Assess statistical evidence,Évaluer les preuves statistiques
Assisted intelligence,Intelligence assistée
Association between categorical variables testing objective,Objectif de test d'association entre variables catégorielles
Association coefficient,Coefficient d'association
Association for the Advancement of Artificial Intelligence,Association sur l'avancement de l'intelligence artificielle
Association rule,Règle d'association
Association rule extraction,Extraction de règles d'association
Association Rule Learning,Recherche de règles d'association
Association scheme,Schéma d'association
Associative network,Réseau sémantique
Assumed mean,Moyenne de travail
Asymmetric cryptography,Cryptographie à clé publique
Asymmetric key,Clé asymétrique
Asymmetrical distribution,Distribution asymétrique
Asymmetrical test,Test unilatéral
Asymmetry,Asymétrie
Asymptotic computational complexity,Complexité asymptotique
Asymptotic distribution,Distribution asymptotique
Asymptotic test,Test asymptotique
Asymptotic theory,Théorie asymptotique
Asymptotically unbiased estimator,Estimateur asymptotiquement sans biais
Asynchronous attack,Attaque NAK
Asynchronous request,Requête asynchrone
Atom,Atome alphanumérique
Atoms,Atomes
Attention mechanism,Mécanisme d'attention
Attention model,Modèle d'attention
Attractor,Attracteur
Attributable fraction,Fraction attribuable
Attributable proportion,Fraction attribuable
Attributable risk,Fraction étiologique
Attribute,Attribut
Attribute sampling,Sondage d'attributs
Attributional calculus,Calcul d'attribution
AudioPaLM,AudioPaLM
Audit axé sur les données,Audit algorithmique
Augmented grammar,Grammaire augmentée
Augmented intelligence,Intelligence augmentée
Augmented man,Homme augmenté
Augmented transition network,Réseau de transition augmenté
Augmented virtual reality,Réalité augmentée
Authentication,Authentification
Authorisation,Autorisation
Authorization,Autorisation
Auto spectrum,Autospectre
Autocorrelation,Autocorrélation
Autocorrelation function,Fonction d'autocorrélation
Autocovariance,Autocovariance
Autocovariance function,Fonction de covariance
Autoencoder,Auto-encodeur
Autoencoders,Autoencodeur
Automata theory,Théorie des automates
Automated content creation,Création automatisée de contenu
Automated content generation,Création automatisée de contenu
Automated Data Tiering,Hiérarchisation automatique des données
Automated journalism,Journalisme automatisé
Automated machine learning,Apprentissage automatique automatisé
Automated online assistant,Assistant en ligne automatisé
Automated planning and scheduling,Planification et ordonnancement
Automated reasoning,Raisonnement automatique
Automated tiered storage,Hiérarchisation automatique des données
Automated translation,Traduction automatique
Automatic Classification,Classement automatique
Automatic content creation,Création automatisée de contenu
Automatic content generation,Création automatisée de contenu
Automatic guided vehicle,Véhicule à guidage automatique
Automatic Identification and Data Capture,Identification automatique et capture de données
Automatic image recognition,Reconnaissance d'images
Automatic learning,Apprentissage automatique
Automatic speech recognition,Système de reconnaissance vocale
Automatic summarization,Résumé automatique
Automatic taxonomy construction,Construction automatique de taxonomies
Automatic translation,Traduction automatique
Automation,Automatisation
AutoML,Apprentissage automatique automatisé
Autonomic computing,Informatique autonome
Autonomic systems,CGI
Autonomous agent,Agent autonome
Autonomous car,Véhicule autonome
Autonomous Electric Vehicles,Véhicule électrique autonome
Autonomous intelligence,Intelligence autonome
Autonomous physical agent,Agent physique autonome
Autonomous robot,Robot autonome
Autonomous system,Système autonome
Autoregression,Autorégression
Autoregressive integrated moving average process,Processus ARIMA
Autoregressive model,Modèle autorégressif
Autoregressive–moving-average model,ARMA
AV software,Logiciel antivirus
Average branching factor,Facteur de branchement moyen
Average deviation,Écart moyen
Average log signal intensity,Intensité moyenne du signal logarithmique
Average loss,Espérance de perte
Average pooling,Sous-échantillonnage par valeur moyenne
Averaging data transformation,Transformation des données par moyennage
Averaging objective,Objectif de moyennage
Avro,Avro
Axial distribution,Distribution axiale
Axon,Axone
Azure Machine Learning,Azure ML
Azure ML,Azure ML
Back chaining,Chaînage arrière
Back door,Porte dérobée
Back propagation,Rétropropagation
Back-calculation,Rétro calcul
Back-computation,Rétro calcul
Back-off method,Méthode de repli
Back-propagation algorithm,Algorithme de rétropropagation
Back-propagation Neural Network,Réseau de neurones à rétropropagation
Backdoor,Porte dérobée
Backed-up value,Valeur de sauvegarde
Backjumping,Retour sur trace
Backpropagation,Rétropropagation
Backpropagation learning algorithm,Algorithme de rétropropagation
Backpropagation through time,Rétropropagation à travers le temps
Backtrack strategy,Stratégie de retour arrière
Backtracking,Retour arrière
Backtracking strategy,Stratégie de retour arrière
Backward chaining,Chaînage arrière
Backward equation,Équation du passé
Backward pass,Propagation arrière
Bag of words,Sac de mots
Bag-of-words model,Modèle du sac de mots
Bag-of-words model in computer vision,Modèle du sac de mots
Bagging,Ré-échantillonnage avec remise ensembliste
Bakery algorithm,Algorithme de la boulangerie
Balanced design,Plan équilibré
Balanced iterative reducing and clustering using hierarchies,BIRCH
Balanced sample,Échantillon compensé
Band chart,Diagramme à barres
Banded heterogeneous Toeplitz covariance structure,Structure de covariance Toeplitz hétérogène en bandes
Banded Toeplitz covariance structure,Structure de covariance Toeplitz en bandes
Bandwidth,Bande passante
Banker's algorithm,Algorithme du banquier
Bar chart,Diagramme à barres
Bar diagram,Diagramme à barres
Bar graph,Diagramme de barres
Bard,Bard
Barnard's test,Test de Barnard
Bartlett adjustment,Correction de Bartlett
Bartlett correction,Correction de Bartlett
Bartlett's collinearity test,Test de colinéarité de Bartlett
Bartlett's test,Test de Bartlett
Bartlett-Lewis model,Modèle de Bartlett-Lewis
Baryon,Baryon
Base,Base
Base line,Ligne de base
Base number,Base
Base period,Période de base
Base reversal test,Test de réversibilité dans le temps
Base weight,Pondération de base
Base year,Année de base
Base-level activity,Activité de base
Base-Meta level tradeoff,Compromis des niveaux base et méta
Baseline,Référence
Baseline security control,Contrôles de sécurité de base
Basic Calculus,Calcul de base
Basic predicate,Prédicat de base
Basic sampling,Échantillonnage simple
Basu's theorem,Théorème de Basu
Batch,Lot
Batch gradient descent,Descente de gradient par lot
Batch learning,Apprentissage par lots
Batch norm,Normalisation de lot
Batch normalisation,Normalisation par lot
Batch Normalization,Normalisation par lots
Batch processing,Traitement par lots
Batch reinforcement learning,Apprentissage par renforcement hors ligne
Batch size,Taille de lot
Batch training,Apprentissage par lots
Bates distribution,Loi de Bates
Bathtub curve,Courbe de baignoire
Battery of tests,Batterie de tests
Baule's equation,Équation de Baule
Bayes formula,Règle de Bayes
Bayes' factor,Facteur de Bayes
Bayes' Rule,Règle de Bayes
Bayes' Theorem,Règle de Bayes
Bayesian,Bayésien
Bayesian deep learning,Apprentissage bayésien
Bayesian Inference,Inférence bayésienne
Bayesian information criterion,Critère d'information bayésien
Bayesian learning,Apprentissage bayésien
Bayesian model selection,Sélection d'un modèle bayésien
Bayesian Network,Réseau bayésien
BCRCI,BCRCI
Beam search algorithm,Algorithme de recherche en faisceau
Beam splitter,Séparateur de faisceau
Bean plot,Diagramme en haricot
Bees algorithm,Méthode des abeilles
Behavior informatics,Informatique comportementale
Behavior tree,Arbre de comportement
Behavioral Analytics,Analyse comportementale
Behavioral computing,Informatique comportementale
Behaviorism,Béhaviorisme
Behaviour Markup Language,Balisage comportemental
Belief function,Facteur de certitude
Belief Propagation,Propagation des convictions
Belief-desire-intention software model,Modèle logiciel croyance–désir–intention
Bell's inequalities,Inégalités de Bell
Bell-shaped curve,Courbe normale
Bellman-Ford algorithm,Algorithme de Bellman-Ford
Bellman-Harris process,Processus de Bellman-Harris
Benjamini and Hochberg false discovery rate correction method,Méthode de correction de Benjamini-Hochberg
Benjamini and Yekutieli false discovery rate correction method,Méthode de correction de Benjamini-Yekutieli
Bentley–Ottmann algorithm,Algorithme de Bentley-Ottmann
Berkeley Madonna,Berkeley Madonna
Berkson's error model,Modèle d'erreur de Berkson
Berlekamp's algorithm,Algorithme de Berlekamp
Bernoulli Distribution,Distribution de Bernoulli
Bernoulli law,Distribution de Bernoulli
Bernoulli numbers,Nombres de Bernoulli
Bernoulli polynomial,Polynômes de Bernoulli
Bernoulli trial,Épreuve de Bernoulli
Bernoulli trials,Tirages de Bernoulli
Bernoulli variation,Schéma de Bernoulli
Bernoulli's theorem,Théorème de Bernoulli
Bernstein's inequality,Inégalité de Bernstein
Bernstein–Von Mises Theorem,Théorème de Bernstein-von Mises
BERT,BERT
BertViz,BertViz
Bessel function,Fonction de Bessel
Best first search,Meilleure première recherche
Beta coefficient,Coefficient bêta
Beta Distribution,Loi bêta
Beta error,Erreur de deuxième espèce
Beta Risk,Risque bêta
Beta-binomial distribution,Distribution bêta binomiale
Between group comparison objective,Objectif de comparaison intergroupe
Between group comparison statistical test,Test statistique de comparaison entre groupes
Between groups difference hypothesis,Hypothèse de différence entre les groupes
Bhattacharyya's distance,Distance de Bhattacharyya
Bi-directional long short-term memory,Réseau de neurones récurrent bidirectionnel à longue mémoire à court terme
Bi-directional LSTM,Réseau récurrent bidirectionnel à longue mémoire court terme
Bi-latin square,Carré gréco-latin
Bias,Biais
Bias-variance dilemma,Compromis biais-variance
Biased importance sampling,Échantillonnage d’importance biaisé
Biased sample,Échantillon biaisé
Bias–variance tradeoff,Compromis biais-variance
Biba Integrity Model,Modèle d'intégrité de Biba
Biclustering,Classification double
Bidirectional Encoder Representations from Transformers,BERT
Bidirectional long short-term memory,Réseau de neurones récurrent bidirectionnel à longue mémoire à court terme
Bidirectional Recurrent Neural Networks,Réseau de neurones récurrents bidirectionnel
Bidirectional recurrent neuron network,Réseau de neurones récurrent bidirectionnel
Bidirectional RNN,Réseau de neurones récurrent bidirectionnel
Bienaymé-Tchebychev inequality,Inégalité de Bienaymé-Tchebycheff
Bifactor model,Modèle bifactoriel
Big Data,Mégadonnées
Big data analysis,Analyse des mégadonnées
Big data analytics,Analyse des mégadonnées
Big Data Value,Valeur des données
Big Data Variability,Variabilité des données
Big Data Variety,Variété des données
Big Data Velocity,Vélocité des données
Big Data Veracity,Véracité des données
Big Data Visualization,Visualisation de données
Big Data Volume,Volume des données
Big dataset,Mégadonnées
Big O,Notation grand O
Big O notation,Notation grand O
BigQuery,BigQuery
Bigram,Bigramme
Bilinear model,Modèle bilinéaire
BiLSTM,Réseau récurrent bidirectionnel à longue mémoire court terme
Bilstm,Réseau récurrent bidirectionnel à longue mémoire court terme
Bimodal distribution,Distribution bimodale
Binarization,Binarisation
Binary classification,Classification binaire
Binary classifier,Classificateur binaire
Binary data,Variable binaire
Binary digit,Unité binaire d'information
Binary Motif,Motif binaire local
Binary search algorithm,Recherche dichotomique
Binary sequence,Séquence binaire
Binary tree,Arbre binaire
Binary variable,Variable binaire
Bingham distribution,Distribution de Bingham
Binning,Répartition par classes
Binomial Distribution,Loi binomiale
Binomial logistic regression for analysis of dichotomous dependent variable,Régression logistique binomiale
Binomial test,Test binomial
Binomial variation,Schéma de Bernoulli
Binomial waiting time distribution,Distribution de Pascal
Bio-assay,Essai biologique
Bioassay,Essai biologique
Bioconservative,Bioconservateur
Bioinformatics,Bio-informatique
Bioinspiration,Bio-inspiration
Biological assay,Essai biologique
Biological neuron,Neurone biologique
Biomedical informatics,Informatique de la santé
BioMeDical Package,BMDP
Biometrics,Biométrie
Biometry,Biométrie
Biomimetic algorithm,Algorithme biomimétique
Bionic robot,Robot portable
Biorobotics,Biorobotique
Biostatistics,Biostatistique
Biplot diagram,Diagramme de Double Projection
BIRCH,BIRCH
Birnbaum-Saunders distribution,Distribution de Birnbaum-Saunders
Birthday problem,Paradoxe des anniversaires
Bispectrum,Bispectre
Bit,Unité binaire d'information
Bit error rate,Taux d’erreurs
Bitcoin,Bitcoin
Bitmap,Bitmap
Bitransitive,Ditransitif
Bivariate beta distribution,Distribution bêta bidimensionnelle
Bivariate binomial distribution,Distribution binomiale à deux variables
Bivariate distribution,Distribution bidimensionnelle
Bivariate distribution of two discrete variables,Distribution à deux variables
Bivariate exponential distribution,Distribution exponentielle bidimensionnelle
Bivariate F-distribution,Distribution de F bidimensionnelle
Bivariate gamma distribution,Distribution gamma bidimensionnelle
Bivariate hypergeometric distribution,Distribution hypergéométrique bidimensionnelle
Bivariate multinomial distribution,Distribution multinomiale bidimensionnelle
Bivariate negative binomial distribution,Distribution binomiale négative bidimensionnelle
Bivariate Pareto distribution,Distribution de Pareto bidimensionnelle
Bivariate Pascal distribution,Distribution de Pascal bidimensionnelle
Bivariate Poisson distribution,Distribution de Poisson bidimensionnelle
Bivariate Student distribution,Distribution de Student bidimensionnelle
Bivariate uniform distribution,Distribution uniforme bidimensionnelle
BL2C,BL2C
Black Body,Corps noir
Black body radiation,Rayonnement du corps noir
Black box,Boîte noire
Black box learning,Boîte noire
Black hat,Pirate informatique
Black hat hacker,Pirate informatique
Black list,Liste de rejet
Black swan theory,Théorie du cygne noir
Black-body emission,Rayonnement du corps noir
Black-body radiation,Rayonnement du corps noir
Blackboard system,Système Blackboard
Blackbody radiation,Rayonnement du corps noir
Blacklist,Liste de rejet
BLEU,BLEU
Blind Quantum Computing,Informatique quantique aveugle
Blind search,Recherche aveugle
Blinding,Aveuglement
Bloch's sphere,Sphère de Bloch
Block,Bloc de données
Block chain,Registre vérifiable par tous
Block design,Plan en blocs
Block diagram,Schéma fonctionnel
Block list,Liste de rejet
Blockchain,Registre vérifiable par tous
Blocking variable,Variable de bloc
Blocklist,Liste de rejet
Blogjects,Blogjects
BMDP,BMDP
Body mass index,Body mass index
Boltzmann machine,Machine de Boltzmann
Bomb,Bombe
Bombing,Bombardement de courriels
Bonferroni adjustment,Correction de Bonferroni
Bonferroni correction,Correction de Bonferroni
Bonferroni test,Correction de Bonferroni
Boole-Bonferroni-Fréchet inequality,Inégalité de Boole-Bonferroni-Fréchet
Boolean satisfiability problem,Problème SAT
Boosting,Dopage
Bootstrap aggregating,Ré-échantillonnage avec remise ensembliste
Bootstrap aggregation,Ré-échantillonnage avec remise ensembliste
Bootstraping,Bootstraping
Bootstrapping,Ré-échantillonage avec remise
Borel distribution,Distribution de Borel
Borel-Cantelli lemma,Lemmes de Borel-Cantelli
Borel-Cantelli lemmas,Lemmes de Borel-Cantelli
Born's rule,Règle de Born
Bose-Einstein condensat,Condensat de Bose-Einstein
Bose-Einstein statistics,Statistique de Bose-Einstein
Boson,Boson
Bot,Robot logiciel
Bot swarm,Essaim de robots
Botnet,Ordinateurs zombies
Bottom-up parser,Analyse syntaxique ascendante
Boundary interface,Interface de frontière
Bounty hunter virus,Virus anti-antivirus
Box plot,Boîte à moustaches
Box-and-whisker plot,Boîte à moustaches
Box-counting dimension,Dimension de Minkowski-Bouligand
Box–Behnkens design,Plan de Box-Behnken
Box–Jenkins method,Modèle de Box-Jenkins
Bra-ket notation,Notation bra-ket
Bradford distribution,Distribution de Bradford
Bradley-Terry model,Modèle de Bradley-Terry
Bragg grating,Réseau de Bragg
Brain Computer Interface,Interface cerveau-ordinateur
Brain technology,Technologie cérébrale
Brain-machine interface,Interface neuronale directe
Brain–computer interface,Interface neuronale directe
Branch and bound,Séparation et évaluation
Branching factor,Facteur de branchement
Branching process,Processus de branchement
Breadth first search,Algorithme de parcours en largeur
Break,Craquer
Breaking,Craquage
Bresenham's line algorithm,Algorithme de tracé de segment de Bresenham
Breslow-Day test,Test de Breslow-Day
Breslow-Day test for homogeneity of odds ratio,Test de Breslow-Day
Breusch-Pagan test,Test de Breusch-Pagan
Brewer's Theorem,Théorème CAP
British Museum algorithm,Algorithme du British Museum
Broader concept,Concept superordonné
Broken line graph,Graphique linéaire
Brontobytes,Bronto-octet
Brown Forsythe test,Test de Brown-Forsythe
BrownBoost,BrownBoost
Brownian bridge,Pont brownien
Brownian motion process,Mouvement Brownien
Browser-based exploitation,Exploitation sur navigateur
Broyden-Fletcher-Goldfarb-Shanno method,Méthode de Broyden-Fletcher-Goldfarb-Shanno
Bruceton method,Fonction en escalier
Brute-force search,Brute-force search
Bucketing,Répartition par classes
Buffon's needle,Aiguille de Buffon
Bug,Bogue
Bulk sampling,Échantillonnage global
Bunch map analysis,Analyse de l'éventail
Burke's output theorem,Théorème de Burke
Burke's theorem,Théorème de Burke
Burr's distribution,Distribution de Burr
Business analyst,Analyste d'affaires
Business Analytics,Analyse des données en entreprise
Business intelligence,Informatique décisionnelle
Business rules management system,Système de gestion de règles métier
C-band,Bande C
C4.5 alogrithm,Algorithme C4.5
Caffe,Caffe
Calculation theory,Théorie du calcul
Calculus of variations,Calcul des variations
Calibration layer,Niveau de calibration
Call Detail Record,Statistiques d'appel
Callbot,Dialogueur
Camp-Paulson approximation,Approximation de Camp-Paulson
Campbell's theorem,Théorème de Campbell
Campbell–Hardy theorem,Théorème de Campbell
Camshift,Camshift
Candidate sampling,Echantillonnage de candidats
Canning,Réponse standard
Canonical analysis,Analyse canonique
Canonical-correlation analysis,Analyse canonique des corrélations
Cantor distribution,Distribution de Cantor
Cantor-type distribution,Distribution de Cantor
CAP Theorem,Théorème CAP
Capacity planning,Gestion de la capacité
CapsNet,CapsNet
Capsule Net,CapsNet
Capsule Network,CapsNet
Capsule Networks,CapsNet
CAPTCHA,CAPTCHA
Caption generation,Génération de légendes
Capture-recapture sampling,Échantillonnage par capture-recapture
Capture/recapture sampling,Échantillonnage par capture-recapture
